system:index,B11,B12,B2,B3,B4,B8,ID,Latitude,Longitude,.geo
00000000000000001d56,1175.0,487.5,242.5,388.0,249.0,2452.5,BUOJRP,-18.2833,48.688,"{""type"":""Point"",""coordinates"":[48.6879997253418,-18.283300399780273]}"
00000000000000001d5e,1379.5,588.0,260.5,435.0,276.0,2866.0,ASNABJ,-18.2798,48.6881,"{""type"":""Point"",""coordinates"":[48.68809890747071,-18.279800415039062]}"
00000000000000001d16,1016.5,445.0,246.5,373.0,228.5,2149.0,8EXMSU,-18.3172,48.6883,"{""type"":""Point"",""coordinates"":[48.68830108642579,-18.31719970703125]}"
00000000000000001d17,1016.5,445.0,246.5,373.0,228.5,2149.0,FVK6OY,-18.3172,48.6883,"{""type"":""Point"",""coordinates"":[48.68830108642579,-18.31719970703125]}"
00000000000000001cf0,1021.5,438.0,217.5,356.0,218.0,2093.5,Y01YCH,-18.3426,48.6886,"{""type"":""Point"",""coordinates"":[48.6885986328125,-18.342599868774414]}"
00000000000000001ce8,1318.5,581.0,227.0,386.5,228.0,2547.0,31XSB6,-18.3466,48.6887,"{""type"":""Point"",""coordinates"":[48.68870162963868,-18.34659957885742]}"
00000000000000001d2e,1327.0,580.5,232.0,416.5,247.5,2999.5,0K15W8,-18.3041,48.6889,"{""type"":""Point"",""coordinates"":[48.68889999389649,-18.304100036621094]}"
00000000000000001d23,966.0,473.0,236.0,356.5,222.0,1835.0,U2PJSV,-18.3145,48.689,"{""type"":""Point"",""coordinates"":[48.68899917602539,-18.314500808715817]}"
00000000000000001ceb,981.0,408.0,205.5,321.0,201.0,1843.0,AD5KRC,-18.3452,48.6894,"{""type"":""Point"",""coordinates"":[48.68939971923828,-18.345199584960938]}"
00000000000000001cf2,1118.0,476.5,221.5,330.0,212.0,2153.0,ROVSKT,-18.342,48.6897,"{""type"":""Point"",""coordinates"":[48.68970108032227,-18.34199905395508]}"
00000000000000001d36,1019.0,449.0,205.5,317.5,209.5,2150.0,5U2LER,-18.3016,48.6897,"{""type"":""Point"",""coordinates"":[48.68970108032227,-18.30159950256348]}"
00000000000000001d2f,1014.5,435.0,199.5,331.0,196.0,2139.0,E2GL31,-18.3038,48.6902,"{""type"":""Point"",""coordinates"":[48.69020080566406,-18.303800582885742]}"
00000000000000001d3a,1096.5,473.0,198.5,320.5,199.5,2145.0,J3AGX6,-18.3004,48.6908,"{""type"":""Point"",""coordinates"":[48.69079971313477,-18.30039978027344]}"
00000000000000001d18,997.0,421.5,234.0,369.0,238.0,1956.0,3HLLGA,-18.3171,48.6913,"{""type"":""Point"",""coordinates"":[48.69129943847657,-18.317100524902347]}"
00000000000000001ce5,1022.5,413.5,199.0,348.0,202.5,2302.5,3HCM4U,-18.3482,48.6914,"{""type"":""Point"",""coordinates"":[48.69139862060547,-18.348199844360355]}"
00000000000000001d59,993.5,427.5,224.0,326.5,204.0,1836.0,C1FJRV,-18.2811,48.6918,"{""type"":""Point"",""coordinates"":[48.69179916381836,-18.281099319458008]}"
00000000000000001d4a,1076.0,457.0,242.0,379.0,237.5,2406.0,K7ZI36,-18.2959,48.692,"{""type"":""Point"",""coordinates"":[48.69200134277344,-18.29590034484863]}"
00000000000000001d4b,1076.0,457.0,242.0,379.0,237.5,2406.0,3SVU84,-18.2959,48.692,"{""type"":""Point"",""coordinates"":[48.69200134277344,-18.29590034484863]}"
00000000000000001d57,1021.5,426.0,234.0,372.5,227.0,2393.5,Y31EHI,-18.282,48.6927,"{""type"":""Point"",""coordinates"":[48.69269943237305,-18.281999588012695]}"
00000000000000001cf1,1258.5,533.5,260.5,425.5,246.5,2583.0,1N1OL0,-18.3421,48.6928,"{""type"":""Point"",""coordinates"":[48.69279861450195,-18.342100143432617]}"
00000000000000001d1c,1403.5,615.0,281.0,483.5,291.0,2827.0,M891MQ,-18.3164,48.6929,"{""type"":""Point"",""coordinates"":[48.692901611328125,-18.3164005279541]}"
00000000000000001d5a,1199.5,515.5,202.0,327.0,206.5,2379.0,770LYY,-18.2809,48.6933,"{""type"":""Point"",""coordinates"":[48.69329833984375,-18.280899047851562]}"
00000000000000001d41,1034.0,469.0,264.5,396.0,257.5,2014.0,6ZZU92,-18.2981,48.6935,"{""type"":""Point"",""coordinates"":[48.69350051879883,-18.29809951782227]}"
00000000000000001ce9,1266.0,551.0,312.0,469.5,279.0,2842.5,POECQ0,-18.3464,48.6936,"{""type"":""Point"",""coordinates"":[48.693599700927734,-18.346399307250977]}"
00000000000000001d62,956.5,420.5,195.0,272.0,167.5,1707.0,PY6Y0I,-18.2774,48.6938,"{""type"":""Point"",""coordinates"":[48.69380187988281,-18.277399063110355]}"
