,ID,landform_11,landform_12,landform_14,landform_21,landform_22,landform_24,landform_31,landform_34,landform_41,landform_42
321,4H4XKC,0,0,0,0,0,0,1,0,0,0
322,TGSINV,0,0,0,0,0,0,0,0,1,0
323,WZPUOD,0,0,0,0,0,0,0,0,1,0
324,KL9RF3,0,0,0,0,0,0,0,0,1,0
325,KXLGVK,0,0,0,0,0,0,0,0,1,0
326,I7MIO3,0,0,0,0,0,0,1,0,0,0
327,26QTFZ,0,0,0,0,0,0,1,0,0,0
328,RIKVH4,0,0,0,0,0,0,0,0,1,0
329,28VDKS,0,0,0,0,0,0,0,0,1,0
330,0TAAU5,0,0,0,1,0,0,0,0,0,0
331,Q8MK3L,0,0,0,1,0,0,0,0,0,0
332,9GONCD,0,0,0,0,0,0,1,0,0,0
333,R7FMN7,0,0,0,0,0,0,1,0,0,0
334,WRDWSV,0,0,0,0,0,0,0,1,0,0
335,OIWF1G,0,0,0,0,0,0,0,1,0,0
336,DLMXSR,0,0,0,0,0,1,0,0,0,0
337,MIZJY1,0,0,0,0,0,1,0,0,0,0
338,YS6BZS,0,0,0,0,0,1,0,0,0,0
339,M7NOLC,0,0,0,0,0,1,0,0,0,0
340,CZRNR9,0,0,0,0,0,1,0,0,0,0
341,06UCZ3,0,0,0,0,0,1,0,0,0,0
342,TYSJTN,0,0,0,0,0,0,0,1,0,0
343,UZMHC1,0,0,0,0,0,0,0,1,0,0
344,XEQMSM,0,0,0,0,0,1,0,0,0,0
345,0CCMEC,0,0,0,0,0,1,0,0,0,0
346,J7OXOZ,0,0,0,0,0,0,0,1,0,0
347,SUS2XQ,0,0,0,0,0,0,0,1,0,0
348,1R2IBG,0,0,0,0,0,0,0,1,0,0
349,I94VPL,0,0,0,0,0,0,0,1,0,0
350,AMTGT7,0,0,0,0,0,0,0,0,1,0
351,87HBK6,0,0,0,0,0,0,0,0,1,0
352,OWUE1Q,0,0,0,0,0,0,0,0,1,0
353,60RLDB,0,0,0,0,0,0,0,0,1,0
354,ZOKZYX,0,0,0,0,0,0,0,0,1,0
355,GRZOOU,0,0,0,0,0,0,0,0,1,0
356,6XLX3Y,0,0,0,0,0,0,1,0,0,0
357,87KVTG,0,0,0,0,0,0,1,0,0,0
358,DRZR5N,0,0,0,0,0,1,0,0,0,0
359,WFIOYT,0,0,0,0,0,1,0,0,0,0
360,H8KGDY,0,0,0,0,0,0,0,0,0,1
361,63EKGY,0,0,0,0,0,0,0,0,0,1
362,K2KKOP,0,0,0,0,0,1,0,0,0,0
363,P4UZ9A,0,0,0,0,0,0,0,1,0,0
364,4HSMMI,0,0,0,0,0,0,0,1,0,0
365,MM44ML,0,0,0,0,0,1,0,0,0,0
366,RYD5MX,0,0,0,0,0,1,0,0,0,0
367,87G7EX,0,0,0,0,0,0,0,1,0,0
368,RN1M29,0,0,0,0,0,0,0,1,0,0
369,DALXIV,0,0,0,0,0,0,0,1,0,0
370,W8M4O9,0,0,0,0,0,0,0,1,0,0
371,9SRQPB,0,0,0,0,0,0,0,1,0,0
372,G7GN39,0,0,0,0,0,0,0,1,0,0
373,AC0FMZ,0,0,0,0,0,1,0,0,0,0
374,MZM20D,0,0,0,0,0,1,0,0,0,0
375,6YBCXX,0,0,0,0,0,1,0,0,0,0
376,FBMI10,0,0,0,1,0,0,0,0,0,0
377,6E4TQ0,0,0,0,1,0,0,0,0,0,0
378,TGWYK0,0,0,0,0,0,1,0,0,0,0
379,FL7G8B,0,0,0,0,0,1,0,0,0,0
380,4Z4B6I,0,0,0,0,0,1,0,0,0,0
381,ABPBB9,0,0,0,0,0,1,0,0,0,0
382,JD5RAA,0,0,0,0,0,1,0,0,0,0
383,XO6WGV,0,0,0,0,0,1,0,0,0,0
384,ABI8HZ,0,0,0,0,0,1,0,0,0,0
385,WE425G,0,0,0,0,0,0,1,0,0,0
386,CAWE3Y,0,0,0,0,0,0,1,0,0,0
387,NMZRA3,0,0,0,0,0,0,1,0,0,0
388,5SXV0T,0,0,0,0,0,0,1,0,0,0
389,C3CT74,0,0,0,0,0,0,1,0,0,0
390,P3T6HE,0,0,0,0,0,0,0,0,1,0
391,EUQHDO,0,0,0,0,0,0,0,0,1,0
392,X1IUE9,0,0,0,0,0,0,0,1,0,0
393,XJ10D4,0,0,0,0,0,0,0,1,0,0
394,1W1JFW,0,0,0,0,0,1,0,0,0,0
395,46ABXN,0,0,0,0,0,1,0,0,0,0
396,JE0S83,0,0,0,0,0,1,0,0,0,0
397,TTZ5JP,0,0,0,0,0,1,0,0,0,0
398,5O0WT5,0,0,0,0,0,0,0,0,1,0
399,E14ZCC,0,0,0,0,0,0,0,0,1,0
400,UKBE2R,0,0,0,0,0,1,0,0,0,0
401,WJP5SB,0,0,0,0,0,1,0,0,0,0
402,K4QJQ1,0,0,0,0,0,1,0,0,0,0
403,TSCSIP,0,0,0,0,0,1,0,0,0,0
404,G4VCLP,0,0,0,0,0,0,0,1,0,0
405,R4LEMA,0,0,0,0,0,0,0,1,0,0
406,H1D2D5,0,0,0,0,0,0,1,0,0,0
407,9XD6LZ,0,0,0,0,0,0,1,0,0,0
408,XSGGSG,0,0,0,0,0,1,0,0,0,0
409,KIBGZ8,0,0,0,0,0,1,0,0,0,0
410,JLG47P,0,0,0,0,0,1,0,0,0,0
411,6ROPVF,0,0,0,0,0,1,0,0,0,0
412,5YHCO7,0,0,0,0,0,1,0,0,0,0
413,RXG9JW,0,0,0,0,0,1,0,0,0,0
414,3YOX78,0,0,0,0,0,0,0,1,0,0
415,BZTL3W,0,0,0,0,0,0,0,1,0,0
416,ADEDS5,0,0,0,0,0,0,0,0,0,1
417,0M4GPQ,0,0,0,0,0,0,0,0,0,1
418,Y591DR,0,0,0,0,0,1,0,0,0,0
419,ZPJTY5,0,0,0,0,0,1,0,0,0,0
420,CKVR7X,0,0,0,0,0,0,0,1,0,0
421,3ARTMO,0,0,0,0,0,0,0,1,0,0
422,OLBP41,0,0,0,0,0,0,0,0,1,0
423,1LCF5Q,0,0,0,0,0,0,0,0,1,0
424,XLK341,0,0,0,0,0,0,0,0,1,0
425,P82C8Z,0,0,0,0,0,0,0,0,1,0
426,TK62LW,0,0,0,0,0,0,0,1,0,0
427,Q7NEP3,0,0,0,0,0,0,0,1,0,0
428,V4DJJR,0,0,0,0,0,0,1,0,0,0
429,RIP8LV,0,0,0,0,0,0,1,0,0,0
430,9L2N51,0,0,0,0,0,1,0,0,0,0
431,IBLDK7,0,0,0,0,0,0,1,0,0,0
432,R3W50I,0,0,0,0,0,0,1,0,0,0
433,2R7N0J,0,0,0,0,0,0,0,1,0,0
434,LWK1RK,0,0,0,0,0,0,0,1,0,0
435,MUEGBM,0,0,0,0,0,0,0,1,0,0
436,LDVCWA,0,0,0,0,0,1,0,0,0,0
437,RW4C2E,0,0,0,0,0,1,0,0,0,0
438,V4WI9V,0,0,0,0,0,0,0,1,0,0
439,UNWZ63,0,0,0,0,0,0,0,1,0,0
440,AFO9I4,0,0,0,0,0,1,0,0,0,0
441,745FNV,0,0,0,0,0,1,0,0,0,0
442,QUURMR,0,0,0,1,0,0,0,0,0,0
443,07HNLA,0,0,0,0,0,1,0,0,0,0
444,AHXPTW,0,0,0,0,0,1,0,0,0,0
445,H3NDMY,0,0,0,0,0,1,0,0,0,0
446,0PQK9U,0,0,0,0,0,1,0,0,0,0
447,VZ3L0M,0,0,0,1,0,0,0,0,0,0
448,L1UEJC,0,0,0,1,0,0,0,0,0,0
449,CILE9Q,0,0,0,0,0,0,0,0,0,1
450,9JBT3Y,0,0,0,0,0,0,0,0,0,1
451,D0H3ME,0,0,0,0,0,0,0,0,0,1
452,YS9W3P,0,0,0,0,0,0,0,0,0,1
453,JASFKC,0,0,0,0,0,0,0,0,1,0
454,SX2XMT,0,0,0,0,0,0,0,0,1,0
455,Q8XD1S,0,0,0,0,0,1,0,0,0,0
456,NCRZQK,0,0,0,0,0,1,0,0,0,0
457,A4PLBI,0,0,0,0,0,1,0,0,0,0
458,Z91NLY,0,0,0,0,0,1,0,0,0,0
459,U5YH3Z,0,0,0,0,0,0,0,1,0,0
460,WL84MC,0,0,0,0,0,0,0,1,0,0
461,B7ACD2,0,0,0,0,0,0,0,0,1,0
462,IVWVJP,0,0,0,0,0,0,0,0,1,0
463,V6DLT0,0,0,0,1,0,0,0,0,0,0
464,4DDBOG,0,0,0,0,0,0,0,1,0,0
465,BBDSX7,0,0,0,0,0,0,0,1,0,0
466,DDJ0NL,0,0,0,0,0,0,0,1,0,0
467,X32Z6N,0,0,0,0,0,0,0,1,0,0
468,H231XK,0,0,0,1,0,0,0,0,0,0
469,JXSV7R,0,0,0,1,0,0,0,0,0,0
470,RI9ASN,0,0,0,0,0,1,0,0,0,0
471,Q1WC2R,0,0,0,0,0,0,0,1,0,0
472,1I4T74,0,0,0,0,0,0,0,1,0,0
473,A377KZ,0,0,0,0,0,0,0,1,0,0
474,YDQDTR,0,0,0,0,0,0,0,1,0,0
475,4C8GBY,0,0,0,0,0,0,0,1,0,0
476,V8ZD9A,0,0,0,0,0,0,0,1,0,0
